epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,10952.1,0.61774,1.40286,2.02229,0.91706,0.08698,0.69042,0.10054,0.09102,0.08561,0.67924,0.09796,0.0773,0.46497,1.1471,1.92371,0.86295,0.009043,0.009043,0.009043
31,11314.2,0.61545,1.39768,2.02011,0.91654,0.08702,0.6904,0.10054,0.09103,0.08565,0.67924,0.09796,0.07726,0.46455,1.14587,1.92324,0.86274,0.00901,0.00901,0.00901
32,11677.8,0.61266,1.38512,2.01878,0.91505,0.08711,0.69034,0.09981,0.09033,0.08574,0.67922,0.09723,0.07662,0.46394,1.14453,1.92273,0.86247,0.008977,0.008977,0.008977
33,12040.5,0.61308,1.3918,2.01877,0.91495,0.08718,0.68912,0.10015,0.09066,0.08582,0.67799,0.09759,0.07695,0.46354,1.14354,1.92227,0.86231,0.008944,0.008944,0.008944
34,12403.4,0.61215,1.38956,2.01735,0.91448,0.08726,0.68781,0.09997,0.09049,0.08589,0.67666,0.0974,0.07681,0.46323,1.14265,1.92195,0.86212,0.008911,0.008911,0.008911
35,12766.5,0.61062,1.38606,2.01643,0.91368,0.08727,0.68745,0.10002,0.09057,0.0859,0.67629,0.09746,0.07687,0.46258,1.14157,1.9216,0.86185,0.008878,0.008878,0.008878
36,13129.5,0.60988,1.38271,2.01648,0.91403,0.08736,0.68733,0.10017,0.09072,0.08598,0.67617,0.09761,0.07697,0.46213,1.14046,1.92121,0.86166,0.008845,0.008845,0.008845
37,13492.6,0.6098,1.38329,2.01529,0.91352,0.08736,0.68768,0.10027,0.09083,0.08598,0.67647,0.09774,0.07707,0.46193,1.13943,1.92077,0.86142,0.008812,0.008812,0.008812
38,13855.2,0.60904,1.37863,2.01434,0.91309,0.08738,0.68791,0.10037,0.09092,0.086,0.67673,0.09784,0.07717,0.46159,1.13853,1.92035,0.86121,0.008779,0.008779,0.008779
39,14218.7,0.60868,1.37662,2.01316,0.91263,0.08739,0.68889,0.10054,0.09109,0.086,0.67765,0.09802,0.07734,0.46129,1.13731,1.91999,0.86099,0.008746,0.008746,0.008746
40,14580.6,0.60494,1.3716,2.01209,0.91139,0.08739,0.6895,0.1007,0.09124,0.086,0.67828,0.09817,0.07747,0.46107,1.13641,1.91958,0.86079,0.008713,0.008713,0.008713
41,14944.7,0.60581,1.36809,2.01121,0.91154,0.08736,0.69035,0.10078,0.09132,0.08598,0.67914,0.09825,0.07753,0.46096,1.13566,1.91922,0.86063,0.00868,0.00868,0.00868
42,15307.8,0.60653,1.37204,2.01183,0.91127,0.08739,0.69097,0.10089,0.09143,0.08601,0.67974,0.09836,0.07766,0.46053,1.13511,1.91892,0.86043,0.008647,0.008647,0.008647
43,15673.4,0.60614,1.37335,2.01115,0.91135,0.08732,0.6918,0.1007,0.09126,0.08662,0.6683,0.09818,0.07756,0.46039,1.13429,1.91856,0.86026,0.008614,0.008614,0.008614
44,16036.4,0.60543,1.37246,2.01061,0.91155,0.08734,0.69271,0.10084,0.09141,0.0866,0.66873,0.09832,0.07769,0.46026,1.13335,1.91814,0.86015,0.008581,0.008581,0.008581
45,16400.6,0.60352,1.36554,2.00985,0.90995,0.08732,0.69345,0.10089,0.09146,0.0866,0.66981,0.09837,0.07777,0.46003,1.13256,1.91783,0.85998,0.008548,0.008548,0.008548
46,16763.6,0.60311,1.36472,2.00878,0.91018,0.08731,0.69468,0.10088,0.09144,0.08656,0.67073,0.09835,0.07776,0.45991,1.13164,1.91744,0.85981,0.008515,0.008515,0.008515
47,17126.6,0.60213,1.35936,2.00801,0.90988,0.08725,0.69567,0.10109,0.09166,0.08654,0.67216,0.09857,0.07797,0.45962,1.13065,1.91705,0.85963,0.008482,0.008482,0.008482
48,17491,0.60246,1.36495,2.00788,0.90951,0.0873,0.69597,0.10116,0.09174,0.08656,0.67207,0.09865,0.07805,0.45938,1.12976,1.91669,0.85944,0.008449,0.008449,0.008449
49,17853.9,0.60235,1.36337,2.00755,0.90959,0.0873,0.69653,0.10121,0.0918,0.08657,0.67283,0.0987,0.07811,0.45895,1.12896,1.91628,0.85922,0.008416,0.008416,0.008416
50,18216.5,0.60048,1.35721,2.00631,0.9086,0.0879,0.68494,0.10133,0.09192,0.08656,0.67417,0.09882,0.07824,0.45868,1.12827,1.9159,0.85897,0.008383,0.008383,0.008383
51,18580.6,0.6021,1.36344,2.00706,0.90967,0.0879,0.68577,0.1014,0.09201,0.08657,0.67505,0.09889,0.0783,0.45824,1.12736,1.91553,0.85875,0.00835,0.00835,0.00835
52,18942.8,0.60024,1.35884,2.00661,0.909,0.08793,0.68648,0.10154,0.09216,0.0866,0.67578,0.09904,0.07843,0.4579,1.12643,1.91522,0.85856,0.008317,0.008317,0.008317
53,19305.2,0.60046,1.36032,2.00651,0.90942,0.08788,0.68756,0.10145,0.09208,0.08655,0.67681,0.09894,0.07834,0.45765,1.12579,1.91483,0.85842,0.008284,0.008284,0.008284
54,19667.5,0.59948,1.35788,2.00558,0.90887,0.08787,0.68818,0.10174,0.09236,0.08654,0.67736,0.09921,0.07862,0.45738,1.12497,1.91454,0.85828,0.008251,0.008251,0.008251
55,20029.8,0.59941,1.36111,2.00608,0.90899,0.08788,0.68814,0.10181,0.09246,0.08655,0.67735,0.09929,0.07872,0.45705,1.12396,1.91417,0.85805,0.008218,0.008218,0.008218
56,20392.9,0.5966,1.34801,2.00475,0.90757,0.08784,0.68943,0.10188,0.09253,0.08651,0.67867,0.09936,0.07878,0.45666,1.12313,1.91376,0.85784,0.008185,0.008185,0.008185
57,20755.9,0.59955,1.35663,2.00469,0.90793,0.08783,0.68967,0.10195,0.0926,0.0865,0.67889,0.09943,0.07885,0.4565,1.12251,1.91344,0.85771,0.008152,0.008152,0.008152
58,21117.8,0.59762,1.35143,2.00385,0.90768,0.08781,0.69051,0.10202,0.09269,0.08648,0.6797,0.09951,0.07892,0.45616,1.12167,1.91308,0.85756,0.008119,0.008119,0.008119
59,21481.2,0.59912,1.35626,2.00488,0.90835,0.08783,0.69204,0.10214,0.0928,0.08714,0.66832,0.09964,0.07903,0.45604,1.1208,1.91267,0.85739,0.008086,0.008086,0.008086
60,21843.9,0.59743,1.35276,2.00299,0.90689,0.08787,0.69195,0.10217,0.09282,0.08718,0.66819,0.09967,0.07906,0.45583,1.11993,1.91229,0.85725,0.008053,0.008053,0.008053
61,22206.4,0.59605,1.34937,2.00274,0.90713,0.08782,0.69305,0.10227,0.09294,0.08715,0.66952,0.09977,0.07916,0.45566,1.11896,1.91199,0.85711,0.00802,0.00802,0.00802
62,22569.4,0.59701,1.3501,2.00233,0.90717,0.08787,0.69334,0.10234,0.09302,0.0872,0.66988,0.09983,0.07921,0.45536,1.11805,1.91158,0.85688,0.007987,0.007987,0.007987
63,22932.2,0.59521,1.3478,2.00247,0.90685,0.08793,0.69386,0.10249,0.09319,0.08723,0.67033,0.1,0.07934,0.45517,1.11706,1.91121,0.85668,0.007954,0.007954,0.007954
64,23294.6,0.5951,1.3477,2.00115,0.90647,0.08792,0.69403,0.10236,0.09307,0.08727,0.67098,0.09987,0.07923,0.45499,1.11638,1.91088,0.85651,0.007921,0.007921,0.007921
65,23657.9,0.5949,1.34486,2.00083,0.90639,0.08799,0.69413,0.10238,0.09308,0.08729,0.67051,0.09988,0.07925,0.45488,1.11588,1.91057,0.85637,0.007888,0.007888,0.007888
66,24021.2,0.59524,1.34587,2.00068,0.90628,0.08796,0.69453,0.1025,0.0932,0.08726,0.67106,0.1,0.07935,0.4548,1.11502,1.91029,0.85617,0.007855,0.007855,0.007855
